lesson_id,date,start_time,duration_min,student,tutor_id,room,status,cancelled_at,note,conflict_resolved
L001,03/03/2026,9:00,60,Le Minh Chau,T1,R1,booked,,,
L002,03/03/2026,9:00,60,Tran Bao Long,T2,R2,booked,,,
L003,03/03/2026,10:30,90,Nguyen Thi Ha,T1,R1,booked,,,
L004,03/03/2026,10:30,60,Do Van Kien,T3,R3,booked,,,
L005,03/03/2026,14:00,60,Vu Ha My,T2,R2,cancelled,2026-03-03T08:15:00+07:00,family cancelled,
L006,03/03/2026,15:30,90,Bui An Nhien,T1,R1,booked,,,
L007,04/03/2026,9:00,60,Le Minh Chau,T3,R3,booked,,,
L008,04/03/2026,9:00,60,Le Minh Chau,T2,R2,booked,,added by phone; family confirmed,
L009,04/03/2026,11:00,90,Tran Bao Long,T1,R1,booked,,exam pair - half price,
L010,04/03/2026,11:00,90,Nguyen Thi Ha,T1,R1,booked,,exam pair - half price,
L011,04/03/2026,14:00,60,Do Van Kien,T3,R3,booked,,,
L012,04/03/2026,16:00,60,Vu Ha My,T2,R2,booked,,,
L013,05/03/2026,9:00,60,Bui An Nhien,T1,R1,booked,,,
L014,05/03/2026,10:30,90,Le Minh Chau,T3,R3,booked,,,
L015,05/03/2026,13:00,60,Tran Bao Long,T2,R2,no_show,,,
L016,05/03/2026,14:30,90,Nguyen Thi Ha,T1,R1,booked,,,
L017,05/03/2026,16:00,60,Do Van Kien,T3,R3,cancelled,2026-03-05T14:40:00+07:00,tutor sick,
L018,06/03/2026,9:00,60,Vu Ha My,T1,R1,booked,,,
L019,06/03/2026,9:00,60,Le Minh Chau,T2,R2,booked,,,
L020,06/03/2026,10:30,90,Bui An Nhien,T3,R3,booked,,,
L021,06/03/2026,11:30,60,Tran Bao Long,T1,R1,booked,,,
L022,06/03/2026,13:00,60,Tran Bao Long,T1,R1,booked,,,
L023,06/03/2026,14:30,60,Nguyen Thi Ha,T2,R2,booked,,,
L024,06/03/2026,16:00,60,Do Van Kien,T1,R1,booked,,,
L025,06/03/2026,17:30,60,Vu Ha My,T1,R1,booked,,,
L026,06/03/2026,19:00,60,Le Minh Chau,T1,R1,booked,,,
L027,06/03/2026,20:30,60,Bui An Nhien,T1,R1,booked,,,
L028,07/03/2026,9:00,90,Tran Bao Long,T3,R3,booked,,,
L029,07/03/2026,11:00,60,Nguyen Thi Ha,T2,R2,booked,,,
L030,07/03/2026,15:00,60,Bui An Nhien,T1,R1,booked,,,
L031,08/03/2026,10:00,60,Do Van Kien,T1,R1,booked,,,
L032,09/03/2026,10:00,60,Vu Ha My,T3,R3,booked,,moved from Sunday at the family's request,
L033,10/03/2026,9:00,60,Le Minh Chau,T1,R1,booked,,,
L034,10/03/2026,9:00,60,Tran Bao Long,T1,R2,booked,,,
